PinName,WLCSP34,QFN40,QFN48,Function,Reset State,Description
**[POWER]**,,,,,,
VBAT3V,o,o,o,AIO,,3.0V battery connection. exclusive use with VBAT1V
VBAT1V,o,o,o,AI,,1.5V battery connection. exclusive use with VBAT3V.
,,,,,,If VBAT3V is used this pin is connected to GND
SWITCH,o,o,o,AIO,,Switching node. connect to inductor
VDCDC,o,o,o,AO,,DCDC converter output
GND,o,o,o,AIO,,Ground
VBAT_RF,o,o,o,AIO,,connect to VBAT3V
VDCDC_RF,o,o,o,AIO,,connect to VDCDC
VPP,o,o,o,AI,,
RST,o,o,o,DI,,active-High reset input
**[CLOCK]**,,,,,,
XTAL16Mp,o,o,o,AI,,16MHz XTAL input
XTAL16Mm,o,o,o,AO,,16MHz XTAL output
XTAL32kp,o,o,o,AI,,32.768kHz XTAL input
XTAL32kp,o,o,o,AO,,32.768kHz XTAL output
**[RADIO]**,,,,,,
RFIOp,o,o,o,AIO,,RF input/output. Impedance 50 ohm
RFIOm,o,o,o,AIO,,RF ground
**[PORT0]**,,,,,,
P0_0,o,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD, used for primary bootloader"
P0_1,o,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD, used for primary bootloader"
P0_2,o,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD, used for primary bootloader"
P0_3,o,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD, used for primary bootloader"
P0_4,o,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD, used for primary bootloader"
P0_5,o,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD, used for primary bootloader"
P0_6,o,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD, used for primary bootloader"
P0_7,o,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD, used for primary bootloader"
**[PORT1]**,,,,,,
P1_0,o,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
P1_1,o,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
P1_2,o,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
P1_3,o,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
"P1_4, SWCLK\ ",o,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD, SWCLK by default"
"P1_5, SWDIO\ ",o,o,o,DIO,I-PU,"Digital I/O, selectable PU/PD, SWDIO by default"
**[PORT2]**,,,,,,
P2_0,,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
P2_1,,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
P2_2,,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
P2_3,,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
P2_4,,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
P2_5,,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
P2_6,,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
P2_7,,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
P2_8,,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
P2_9,,o,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
**[PORT3]**,,,,,,
P3_0,,,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
P3_1,,,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
P3_2,,,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
P3_3,,,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
P3_4,,,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
P3_5,,,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
P3_6,,,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
P3_7,,,o,DIO,I-PD,"Digital I/O, selectable PU/PD"
**[Analog interface]**,,,,,,
ADC[0],o,o,o,AI,INPUT,Analog to Digital Converter input 0. Mapped on P0_0
ADC[1],o,o,o,AI,INPUT,Analog to Digital Converter input 1. Mapped on P0_1
ADC[2],o,o,o,AI,INPUT,Analog to Digital Converter input 2. Mapped on P0_2
ADC[3],o,o,o,AI,INPUT,Analog to Digital Converter input 3. Mapped on P0_3